Row Labels,count of jobs,,,
"Skoop Analytics, Inc.",1,,,
SpaceCurve,1,,,
XPO Logistics,1,,,
SPAR Information Systems,1,,,
Sunrise Systems Inc,1,,,
Spark Foundry,1,,,
Yumanity,1,,,
SalesLoft,1,,,
Zebit,1,,,
The NPD Group,1,,,
Slalom Consulting,1,,,
The Rockefeller University,1,,,
Zoetis,1,,,
The Situs Companies,1,,,
Zume Inc.,1,,,
Scripps Health Corp,1,,,
Santander Bank,1,,,
The University of Chicago Medicine,1,,,
Unicon Pharma,1,,,
SCS Engineers,1,,,
UnionBank,1,,,
The Wonderful Company LLC,1,,,
United Airlines Inc.,1,,,
Theravance Biopharma,1,,,
United States Soccer Federation,1,,,
SD Medical system Inc,1,,,
Staffing Advisors,1,,,
ThirdLove,1,,,
RMworkforce,1,,,
Thomas Publishing Company LLC,1,,,
Seven Bridges,1,,,
Thomson Reuters,1,,,
University of Chicago,1,,,
Thor Life Sciences,1,,,
University of Colorado Boulder,1,,,
thoughtmatrix,1,,,
University of San Diego,1,,,
"Spaulding Hospital–Boston & Cambridge(SRN,SRH,SHC)",1,,,
SG Analytics,1,,,
SDSU Research Foundation,1,,,
UNTUCKit,1,,,
Specific Diagnostics,1,,,
Upgrade,1,,,
Thumbtack,1,,,
Shipt,1,,,
TIAA,1,,,
Upwork,1,,,
Tier1 IT,1,,,
US Cellular,1,,,
Tigroup,1,,,
Shirley Ryan Ability Lab,1,,,
Tilting Point,1,,,
Solidus Technical Solutions,1,,,
TINYpulse,1,,,
UtopiaCompression Corporation,1,,,
TiVo,1,,,
Valkyrie Intelligence,1,,,
TMP Worldwide,1,,,
San Diego Community College District,1,,,
Seaport Global Holdings LLC,1,,,
Velocity,1,,,
"Topcon Medical Systems, Inc.",1,,,
Showtime,1,,,
Torani,1,,,
States Title,1,,,
Total Systems Technologies Corporation,1,,,
Stealth Mode Startup Company,1,,,
Townsquare Media,1,,,
Versive,1,,,
TP Therapeutics,1,,,
Shutterstock,1,,,
Trader Interactive,1,,,
Vettery,1,,,
Trading Technologies,1,,,
StepStone Group LP,1,,,
Spectrum Brands,1,,,
Stevens Institute of Technology,1,,,
Transdev,1,,,
Vichara,1,,,
TransFair USA,1,,,
San Francisco Office of the Chief Medical Examiner,1,,,
Transfix.io,1,,,
Stratos Genomics,1,,,
"SearchTech Consulting, Inc",1,,,
VIR,1,,,
"Transworld Systems, Inc. (TSI)",1,,,
Strava,1,,,
TRANZACT,1,,,
Streamlyne,1,,,
TRC,1,,,
Streetline,1,,,
Sears Holdings Management Corporation,1,,,
VMware,1,,,
Tremor Video DSP,1,,,
Voluntis,1,,,
Trialspark,1,,,
Voya Financial,1,,,
"Tricida, Inc.",1,,,
Vulcan Inc.,1,,,
Trifacta,1,,,
Wachsman,1,,,
Trimble Inc.,1,,,
Walker Medical Solutions,1,,,
Trinamix Inc.,1,,,
Simon Data,1,,,
"Trinity Global Consulting, LLC",1,,,
Washington Metropolitan Area Transit Authority,1,,,
SmartPharm Therapeutics,1,,,
Simple Laboratories,1,,,
True Fit,1,,,
Wealthfront,1,,,
true[x],1,,,
Strike Social,1,,,
TrueFacet,1,,,
SimScale,1,,,
SpinCar,1,,,
WestCoast Children's Clinic,1,,,
"SPINS, LLC",1,,,
WestRock,1,,,
SPK Consultants Inc,1,,,
RootPath Genomics,1,,,
TSYS,1,,,
White Bay Group,1,,,
Tubi TV,1,,,
Whiterabbit.ai,1,,,
Tubular Labs,1,,,
Wholefoods,1,,,
"Seattle Genetics, Inc.",1,,,
Wild Type,1,,,
Sabey Corporation,1,,,
StubHub,1,,,
"Turnitin, LLC",1,,,
Snap Inc.,1,,,
Tusimple,1,,,
Siolta Therapeutics,1,,,
Socrata,1,,,
Wittaff Inc.,1,,,
Twentieth Television,1,,,
Wix,1,,,
Seiu Local 775,1,,,
Wolverine Trading,1,,,
SEIU United Service Workers West,1,,,
Sumo,1,,,
SEMA4,1,,,
"Woodlyn Partners, Inc.",1,,,
SENS Research Foundation,1,,,
Workers' Compensation Insurance Rating Bureau of California (WCIRB),1,,,
Tyemill,1,,,
World Resources Institute,1,,,
"Tygart Technology, Inc.",1,,,
"Skadden, Arps, Slate, Meagher & Flom LLP & Affiliates",1,,,
Socure,1,,,
X4 Pharmaceuticals,1,,,
Samsung NEXT,1,,,
Sun Life Financial,1,,,
Sensient Technologies Corporation,1,,,
XL Catlin,1,,,
uBiome,1,,,
Xpert Staffing,1,,,
SQAD LLC,1,,,
Skyhook Wireless,1,,,
Sensoleak,1,,,
Year Up,1,,,
ROKT,1,,,
YIWEI Medical Inc.,1,,,
Rockets of Awesome,1,,,
YourMechanic,1,,,
UCB,1,,,
Z FEDERAL,1,,,
UCB S.A.,1,,,
Ropes & Gray,1,,,
SRI International,1,,,
Zelis Healthcare,1,,,
UCLA David Geffen School of Medicine,1,,,
SurveyMonkey,1,,,
UHY LLP,1,,,
Slice,1,,,
UiPath,1,,,
Zipcar,1,,,
SRS Investment Management,1,,,
Suzy,1,,,
"UltraBio Technologies, Inc",1,,,
"Swedish Medical Center - Seattle, WA",1,,,
SAIC,1,,,
RockBridge Search & Recruitment,1,,,
Unchained Labs,1,,,
Smartly,1,,,
Stacey Kostue Consulting,1,,,
UniBit Inc.,1,,,
The Hartford,1,,,
Los Angeles County Department of Human Resources,1,,,
Pentasia,1,,,
"Lynx, Inc.",1,,,
KCS Partners,1,,,
Mission Bio,1,,,
Moxie,1,,,
lululemon athletica,1,,,
"Moxie Interactive, Inc.",1,,,
Parsable,1,,,
Mozilla,1,,,
Mintel,1,,,
MRY,1,,,
PRA Health Sciences,1,,,
Matrix New World Engineering,1,,,
LPL Financial,1,,,
MUSEUM ASSOCIATES,1,,,
Raindance Partners Recruiting,1,,,
Mybrainsolutions,1,,,
PagerDuty,1,,,
Mynd,1,,,
KAYAK,1,,,
Matrix Resources,1,,,
Personnel Management Consultants,1,,,
N C Q A,1,,,
Logyx,1,,,
Nanigans,1,,,
Pocket Gems,1,,,
Matthews Asia,1,,,
PRO Unlimited @ facebook,1,,,
Manthan Systems,1,,,
Lovepop,1,,,
Lancer Insurance Company,1,,,
"LS Technologies, LLC",1,,,
Narvar,1,,,
Qulab Inc.,1,,,
Kessler Foundation,1,,,
Rauxa,1,,,
Natero,1,,,
Kemper Corporation,1,,,
National Center for CryoEM Access and Training (NCCAT),1,,,
Kiva.org,1,,,
National CineMedia,1,,,
PARTNERSHIP for PUBLIC SERVICE,1,,,
National Debt Relief,1,,,
Lob,1,,,
"Langan Engineering and Environmental Services, Inc.",1,,,
Performics,1,,,
National Fish Wildlife Foundation,1,,,
"Lockstep, Inc.",1,,,
National Geographic,1,,,
Kofi Solutions Group,1,,,
Lattice Engines,1,,,
Missing Link Security,1,,,
LaunchCode,1,,,
Plenty,1,,,
National Oilwell Varco,1,,,
"Loomis, Sayles & Company, L.P.",1,,,
National Renewable Energy Laboratory,1,,,
Premierehire,1,,,
Natixis Investment Managers,1,,,
Product Madness,1,,,
LawnStarter,1,,,
Los Angeles Universal Preschool,1,,,
Nautilus Labs,1,,,
PS&S,1,,,
NAVICAN GENOMICS INC,1,,,
"Quadratic Systems, Inc.",1,,,
NBCUniversal,1,,,
Quantifind,1,,,
Kate Spade & Company,1,,,
Quest Groups LLC,1,,,
LawTrades,1,,,
Ra Pharmaceutical,1,,,
Neal Analytics,1,,,
Rancho BioSciences,1,,,
Near,1,,,
Realtime Robotics,1,,,
Neer Info Solutions,1,,,
KOCH AG & ENERGY SOLUTIONS,1,,,
Neilson Financial Services,1,,,
Rescue Agency,1,,,
"Neilson Financial Services, USA",1,,,
Pall,1,,,
Key Lime Interactive,1,,,
Park Assist LLC,1,,,
Le CultureClub,1,,,
Parsons,1,,,
Leafly Holdings,1,,,
Microvi,1,,,
Leap.ai,1,,,
Payments & Cards Network,1,,,
Network ESC,1,,,
Mighty AI,1,,,
Networkers,1,,,
PepsiCo,1,,,
Maxus,1,,,
permIT LLC,1,,,
Neurable,1,,,
Petuum,1,,,
LeapYear,1,,,
Kronos Bio,1,,,
LearnVest,1,,,
Philo,1,,,
"Neustar, Inc.",1,,,
KBI Biopharma,1,,,
New America,1,,,
"PitchBook Data, Inc.",1,,,
New Amsterdam Partners LLC,1,,,
Plaid,1,,,
New Classrooms,1,,,
Kelton Global LLC,1,,,
"New Era Group, Inc",1,,,
Lonza Biologics,1,,,
"New Iron Group, Inc.",1,,,
Population Services International,1,,,
New Post Search,1,,,
"POWER Engineers, Inc.",1,,,
New York City Transit,1,,,
Pray,1,,,
"Magic Leap, Inc.",1,,,
PreVisor,1,,,
Ledcor,1,,,
Lorven Technologies,1,,,
Legal Services Corporation,1,,,
Progenesis,1,,,
New York State Office of the Attorney General (OAG),1,,,
Promega Corporation,1,,,
New York Stem Cell Foundation,1,,,
"Proneurotech, Inc.",1,,,
McKesson,1,,,
Providence Health & Services,1,,,
Legislative Budget Board,1,,,
Public Health Institute,1,,,
Newmark Knight Frank,1,,,
Qadium,1,,,
NewsCred,1,,,
Kura Oncology,1,,,
Newsela,1,,,
LT,1,,,
Newton Colmore Consulting Ltd,1,,,
Quantlab,1,,,
Nexcelom Bioscience,1,,,
"Quentis Therapeutics, Inc",1,,,
Nexient,1,,,
QuintilesIMS,1,,,
Kavyos Consulting Inc,1,,,
"Lumos Labs, Inc.",1,,,
Niantic Labs,1,,,
raag solutions,1,,,
"Niantic, Inc.",1,,,
"Rakuten Aspyrian, Inc.",1,,,
Keypoint Intelligence,1,,,
Rand Thompson Consultants LLC,1,,,
KOCH SUPPLY AND TRADING,1,,,
Motivate International Inc.,1,,,
Kaplan,1,,,
RecruiterDNA,1,,,
Nike,1,,,
Redcley,1,,,
KDR recruitment,1,,,
Relus Cloud,1,,,
NinthDecimal,1,,,
Match,1,,,
Nmatrixx,1,,,
Research Foundation of The City University of New York,1,,,
Malin Space Science Systems,1,,,
Paige.ai,1,,,
LendUp,1,,,
Panaseer,1,,,
Lab Pros,1,,,
LinQuest Corporation,1,,,
Lennon Wright,1,,,
Parker Institute for Cancer Immunotherapy,1,,,
letgo,1,,,
Parsec Media,1,,,
Level Education from Northeastern University,1,,,
"Lionshare Lending, LLC",1,,,
LEWIS,1,,,
Marsh,1,,,
Lexington Solutions Group,1,,,
MicroVision,1,,,
Liberty Healthcare Corporation,1,,,
Midaxo,1,,,
Northside Hospital,1,,,
PCI Strategic Management,1,,,
MedStar Health,1,,,
Peloton,1,,,
Northwestern Mutual Life Insurance Company,1,,,
Penske Media Corp.,1,,,
"Liberty Lending, LLC",1,,,
"People With Developmental Disabilities, Office for",1,,,
Notable Labs,1,,,
Milacron LLC,1,,,
Kinsa Inc.,1,,,
Milken Institute,1,,,
Novelis,1,,,
Milliman,1,,,
Kraft Heinz Company,1,,,
Miltenyi Biotec,1,,,
Novi Labs,1,,,
MindRight,1,,,
Novo Nordisk,1,,,
Locus Technologies,1,,,
MedStar Health Research Institute,1,,,
Marsh & McLennan Companies,1,,,
NRT New York LLC,1,,,
PHASTAR,1,,,
NTT DATA Services,1,,,
"Phoenix Tree Publishing, Inc.",1,,,
Nucleus Research,1,,,
PicnicHealth,1,,,
Nuveen,1,,,
PillPack,1,,,
"Nuvola Staffing & Solutions, LLC.",1,,,
"Pioneer Data Systems, Inc",1,,,
NuWest Healthcare,1,,,
Pivot Bio,1,,,
NV5,1,,,
PlaceIQ,1,,,
Lieberman Research Worldwide,1,,,
Planet,1,,,
NXP Semiconductors,1,,,
Planned Systems International,1,,,
Nxt Level,1,,,
Mitek Systems,1,,,
NYC Administration for Children's Services,1,,,
Plexxikon,1,,,
Life360,1,,,
MJK Concepts,1,,,
Kintai Therapeutics,1,,,
Population Council,1,,,
Kite Pharma,1,,,
MMT,1,,,
Obsidian Therapeutics,1,,,
Poshmark,1,,,
OBXtek,1,,,
Loomly,1,,,
Odonate Therapeutics,1,,,
Massdrop,1,,,
"MemComputing, Inc.",1,,,
LabKey,1,,,
Research Now,1,,,
Molecular Templates Inc,1,,,
Memjet,1,,,
Primary Search Management,1,,,
Old Mission Capital,1,,,
"Probi USA, Inc.",1,,,
Oliver James Associates,1,,,
Procter & Gamble,1,,,
"Malin Space Science Systems, Inc.",1,,,
Profusa,1,,,
LifeMine,1,,,
Project Concern International,1,,,
OM Partners,1,,,
Prologis,1,,,
OM1,1,,,
Prometheus Global Media,1,,,
Marchex,1,,,
Prometrika,1,,,
Omega Therapeutics,1,,,
Love and Company,1,,,
Keller Williams,1,,,
ProtonMail,1,,,
Merkle Inc.,1,,,
Mondelez International,1,,,
OneGlobe,1,,,
PSM Partners,1,,,
"OneGlobe, LLC",1,,,
Moneythink,1,,,
Oneida ESC Group,1,,,
MONSANTO,1,,,
Marcus & Associates,1,,,
Qeexo,1,,,
"Onyx Government Services, LLC",1,,,
LQ Digital,1,,,
OPCOM,1,,,
QualStaff Resources,1,,,
Marina Maher Communications,1,,,
Qualys,1,,,
Meso Scale Diagnostics,1,,,
Quanteam,1,,,
OpenAI,1,,,
"Montrose Environmental Group, Inc.",1,,,
Metabiota,1,,,
Quantronix Inc,1,,,
Koneksa Health,1,,,
Quartet,1,,,
Metro-Goldwyn-Mayer Studios,1,,,
Quest Diagnostics,1,,,
Metromile,1,,,
Quidel Corporation,1,,,
MetroPlus Health Plan,1,,,
LabKey Software,1,,,
Opportunity Finance Network,1,,,
Lumere,1,,,
Optimizely,1,,,
"MORI Associates, Inc",1,,,
Options Clearing Corporation,1,,,
Lux Research Inc,1,,,
Options Group,1,,,
Morning Consult,1,,,
Optomi,1,,,
Rainforest QA,1,,,
Optoro,1,,,
Lyft,1,,,
Metropolitan Transportation Authority,1,,,
RAND Corporation,1,,,
Organic,1,,,
Labtech Specialty Staffing,1,,,
Organovo,1,,,
Motif Investing,1,,,
Market Track,1,,,
RCG Holdings LLC,1,,,
Otis College of Art and Design,1,,,
Recorded Future,1,,,
Outcome Health,1,,,
Recruiting Resources,1,,,
OUTFRONT media,1,,,
MasterClass,1,,,
Outreach,1,,,
Lyric,1,,,
Mallinckrodt,1,,,
Refinery29,1,,,
Pacific Gas And Electric Company,1,,,
Motorola Solutions,1,,,
Pacific Institute for Research and Evaluation,1,,,
Rent the Runway,1,,,
Micro Tech Staffing Group,1,,,
REPS & Co.,1,,,
Pacific Northwest National Laboratory,1,,,
"Research Foundation for Mental Hygiene, Inc.",1,,,
PAE,1,,,
Movable Ink,1,,,
Pager,1,,,
Okaya Inc,1,,,
MacDermid Inc.,1,,,
OKCupid,1,,,
New York State Office of the Attorney General,1,,,
Indotronix International Corporation,1,,,
HiFiBiO Therapeutics,1,,,
Eclaro,1,,,
Federation for American Immigration Reform (Fair),1,,,
Drivin/Autoniq,1,,,
Feeding America,1,,,
International Flavors and Fragrances,1,,,
Feedvisor,1,,,
Evelo Biosciences,1,,,
Delta Air Lines,1,,,
Honey,1,,,
Enel Green Power North America,1,,,
IGM Biosciences,1,,,
Fibroblast,1,,,
Insticator Inc,1,,,
Daimler,1,,,
Eagle SNG,1,,,
Dematic,1,,,
Hawkins Diagnostics,1,,,
Figure,1,,,
Heliotrope Technologies,1,,,
Finra,1,,,
dbHMS,1,,,
Finrise,1,,,
HOUSING PRESERVATION & DVLPMNT,1,,,
"Elavon, Inc.",1,,,
"Ian, Evan & Alexander Corporation",1,,,
First Derivatives plc,1,,,
D&K Engineering,1,,,
Daley and Associates,1,,,
Inseego,1,,,
First Soft Solutions LLC,1,,,
Dynavax Technologies,1,,,
FiscalNote,1,,,
Encore Information Systems Inc.,1,,,
Fit Analytics,1,,,
J.E. Ranta Associates,1,,,
Fitbit,1,,,
Joymode,1,,,
Fitch Ratings,1,,,
HCL Technologies,1,,,
Flatiron Health,1,,,
Heart Rhythm Society (HRS),1,,,
Flexport,1,,,
eviCore healthcare,1,,,
FlowWest,1,,,
DONOR NETWORK WEST,1,,,
Fluid Intelligence,1,,,
HNTB Corporation,1,,,
"FLX Bio, Inc.",1,,,
Cytobank Inc.,1,,,
FMG Suite,1,,,
HUB International,1,,,
EnerNOC,1,,,
Hunter BioDiscovery,1,,,
D.A. Davidson & Co.,1,,,
Exonics Therapeutics,1,,,
Fooda,1,,,
IJC Associates,1,,,
Forcepoint,1,,,
Incandescent Technologies,1,,,
Formation Environmental LLC,1,,,
Infomatics Corp,1,,,
Dendreon Corporation,1,,,
Insikt,1,,,
Davey Tree,1,,,
Factual,1,,,
Fox Networks Digital Consumer Group,1,,,
Delos,1,,,
Fox Networks Group,1,,,
e.biT Consulting,1,,,
Department of Education,1,,,
Inzone,1,,,
Department of Energy,1,,,
ITL USA,1,,,
FrameWorks Institute,1,,,
Daugherty New York,1,,,
"Frank N. Magid Associates, Inc.",1,,,
"Joinn Laboratories CA, Inc",1,,,
Elenion Technologies,1,,,
"JUST, Inc.",1,,,
FraudScope,1,,,
HBO,1,,,
CyberCube Analytics,1,,,
DomainTools,1,,,
Engine Biosciences,1,,,
Heap,1,,,
FREEDOM CONSULTING GROUP,1,,,
Hearts and Science,1,,,
Elev8 Hire Solutions,1,,,
Domino Data Lab,1,,,
Frequence,1,,,
Heron Therapeutics,1,,,
Fresh Digital Group,1,,,
HighPoint,1,,,
Enlighted,1,,,
Evident,1,,,
Frontapp,1,,,
Hiya,1,,,
Frontend Arts,1,,,
Hometap,1,,,
Enovity,1,,,
HONK,1,,,
Fulcrum Analytics,1,,,
Emory Healthcare,1,,,
"Enquero, Inc",1,,,
Howard University,1,,,
Funding Circle US,1,,,
Drift,1,,,
G2S Corporation,1,,,
Humanyze,1,,,
GA Instructor,1,,,
Deeter Investments LLP,1,,,
Gaia International Inc.,1,,,
DCS Corp,1,,,
Department of Health And Human Services,1,,,
exp,1,,,
CUNA Mutual Group,1,,,
"iHeartMedia, Inc.",1,,,
Enterprise Peak,1,,,
Imagining Human,1,,,
Gartner,1,,,
ExThera Medical Corporation,1,,,
"Gateway Recruiting, INC",1,,,
Indeed,1,,,
Department of Homeland Security,1,,,
Infinite Uptime,1,,,
GEI Consultants Inc,1,,,
FabFitFun,1,,,
Gelber Group,1,,,
Insight Health Analytics,1,,,
"Egnyte, Inc.",1,,,
Inspire Brands,1,,,
Gemological Institute of America,1,,,
Institute for Health Metrics and Evaluation - Faculty,1,,,
"Gencyte Therapeutics, Inc.",1,,,
DV Trading LLC,1,,,
Environmental Protection Agency,1,,,
Intent Media,1,,,
DEPARTMENT OF SANITATION,1,,,
Dau International LLC,1,,,
Department of the Navy,1,,,
Internet Brands,1,,,
Environmental Risk Services Corporation,1,,,
Intuitive Surgical,1,,,
General Atomics Aeronautical Systems,1,,,
Fanning Personnel,1,,,
Environmental Working Group,1,,,
Iovance Biotherapeutics,1,,,
Envision Horizons,1,,,
"Farmer's Business Network, Inc.",1,,,
General Motors,1,,,
FBR & Co.,1,,,
Dashlane,1,,,
"East River BioSolutions, Inc.",1,,,
envisionit,1,,,
Feasible,1,,,
DEPT OF INFO TECH & TELECOMM,1,,,
John Leonard,1,,,
Genomic Health,1,,,
"Joseph Gunnar & Co., LLC",1,,,
Geomagical Labs,1,,,
"Edison Software, Inc.",1,,,
Georgia State University,1,,,
Effective Spend,1,,,
DEPT OF PARKS & RECREATION,1,,,
Evalueserve,1,,,
GEORGIA-PACIFIC,1,,,
HBUS,1,,,
"GeoVax, Inc.",1,,,
HD Supply,1,,,
Epic Bio,1,,,
Headway Workforce Solutions,1,,,
Gifford Fong Associates (GFA),1,,,
"HealthyPets, Inc.",1,,,
Gigster,1,,,
Eventbrite,1,,,
Deutsch,1,,,
HeartFlow,1,,,
Epic Creations,1,,,
Everest Clinical Research,1,,,
DF/Net Research,1,,,
EverQuote,1,,,
Global Atlantic Financial Group,1,,,
HelloWorld,1,,,
Global Computing - Mexico,1,,,
Evidation Health,1,,,
Global Pharmaceutical Company via RCH Solutions,1,,,
HexaCorp,1,,,
"GlobalLogic, Inc.",1,,,
High Lantern Group,1,,,
Glocomms,1,,,
HIRECLOUT,1,,,
Epic Sciences,1,,,
HireStarter,1,,,
"Epiq Systems, Inc.",1,,,
"Hitachi Chemical Advanced Therapeutics Solutions, LLC",1,,,
GOAT,1,,,
DonorsChoose.org,1,,,
Golden Gate National Parks Conservancy,1,,,
"HKS, Inc.",1,,,
Epizyme,1,,,
DoSomething.org,1,,,
ePrize,1,,,
Dotdash,1,,,
Diazyme,1,,,
DoubleDown Interactive LLC,1,,,
"DeepCurrent Technologies, Inc.",1,,,
Hopjump,1,,,
Equifax,1,,,
DataMasters,1,,,
GoPro,1,,,
Excellent Business Consultants,1,,,
Equity Residential,1,,,
Executive Alliance,1,,,
Government of the District of Columbia,1,,,
HP,1,,,
GovernmentCIO,1,,,
Custoria,1,,,
GQR,1,,,
Hulu,1,,,
DeepMind,1,,,
Humana,1,,,
Dassault Systèmes,1,,,
Humu,1,,,
Esha IT,1,,,
Huxley IT,1,,,
"Grammarly, Inc.",1,,,
Hydrogen Group,1,,,
Grand Rounds,1,,,
IAS-USA,1,,,
Digit,1,,,
DRS Technologies,1,,,
DeepScale,1,,,
"ICU Medical, Inc.",1,,,
Grata Data,1,,,
IFPRI (International Food Policy Research Institute),1,,,
GreatCall,1,,,
"eHire, LLC",1,,,
Greenlots,1,,,
Drug Policy Alliance,1,,,
Data+Math,1,,,
EXPERIAN,1,,,
Jvion,1,,,
Defined Clarity,1,,,
Grenzebach Glier and Associates,1,,,
Improbable,1,,,
"Gresham, Smith and Partners.",1,,,
"ExtraHop Networks, Inc.",1,,,
Grifols,1,,,
Dailymotion,1,,,
Grindr,1,,,
Duff & Phelps Investment Management Company,1,,,
Gritstone Oncology,1,,,
Infectious Disease Research Institute,1,,,
Diligent,1,,,
Infocorvus,1,,,
Etiometry,1,,,
Ezra Penland Actuarial Recruitment,1,,,
Group Nine Media,1,,,
"Innovation Center for Biomedical Informatics, Georgetown University",1,,,
Group One Trading,1,,,
Dealmoon,1,,,
Group SJR,1,,,
Insight Strategy Group,1,,,
GroupM,1,,,
"Facility Management Planners, Inc",1,,,
DataAxxis,1,,,
Dun & Bradstreet,1,,,
Growth Technical Staffing,1,,,
Institute for Defense Analyses,1,,,
DiMeo Schneider & Associates,1,,,
Factspan Inc,1,,,
GSI Service Group Inc,1,,,
Insurify,1,,,
Dirty Lemon Beverages,1,,,
Fair Trade USA,1,,,
Guardian Analytics,1,,,
IntelliPro Group Inc.,1,,,
Guardian Life Insurance Company,1,,,
INTERA,1,,,
Discord,1,,,
Intercept Pharmaceuticals,1,,,
Guidepoint Global,1,,,
International AIDS Vaccine Initiative,1,,,
"Guidewire Software, Inc.",1,,,
"International Information Technology Team, Inc.",1,,,
Elevations Credit Union,1,,,
FanDuel,1,,,
Guttmacher Institute,1,,,
E.L. Haynes Public Charter School,1,,,
Gymboree,1,,,
Invenia Resourcing,1,,,
GZA,1,,,
Investigative Company,1,,,
DISNEY,1,,,
Fareportal Inc.,1,,,
Displayr,1,,,
Farfetch,1,,,
H5,1,,,
IPG Mediabrands,1,,,
HackerOne,1,,,
IQ Workforce,1,,,
Hales Franciscan High School,1,,,
EarthDefine,1,,,
Haley & Aldrich,1,,,
ITStaff Technical Resources,1,,,
Divergent 3D,1,,,
J.D. Power,1,,,
"Hampton-Clarke, Inc",1,,,
"Jack In The Box | Jack in the Box, Inc.",1,,,
Eurofins DiscoverX Corporation,1,,,
Eastern Bank,1,,,
Hanweck Associates,1,,,
"Jefferies & Company, Inc.",1,,,
Davis Defense Group,1,,,
Federal Reserve Bank of Chicago,1,,,
"Happy Faces Personnel Group, Inc.",1,,,
ecoATM LLC,1,,,
Harman Connected Services,1,,,
EcoHealth Alliance,1,,,
Databricks,1,,,
Jopwell,1,,,
Harry's,1,,,
"Joseph J. Blake & Associates, Inc.",1,,,
"Hart Crowser, Inc.",1,,,
Edelman & Associates,1,,,
"Eurofins VRL, Inc.",1,,,
Just Biotherapeutics,1,,,
Datadog,1,,,
edX,1,,,
Hatch,1,,,
Federal Reserve Bank of New York,1,,,
"HaulHub, Inc.",1,,,
"GreenZone Solutions, Inc.",1,,,
COMPTROLLER OF PUBLIC ACCOUNTS,1,,,
"Chubbies, Inc.",1,,,
Center for the Study of Services,1,,,
Arbor Biotechnologies,1,,,
CMIC Group,1,,,
Benenson Strategy Group,1,,,
Court Services and Offender Supervision Agency for DC,1,,,
Øptimus Consulting,1,,,
Avenue Code,1,,,
Arcadis,1,,,
American Council of Life Insurers,1,,,
Arch,1,,,
"Coherent, Inc.",1,,,
Betterment LLC,1,,,
Bayside Solutions,1,,,
AdTheorent,1,,,
Belkin,1,,,
Bevi,1,,,
"CGH Technologies, Inc.",1,,,
Arcturus Therapeutics,1,,,
Cherokee Nation Businesses,1,,,
Affymetrix,1,,,
Cisco Meraki,1,,,
Big Cloud,1,,,
Aegon,1,,,
Big Mirror Labs,1,,,
Cogent Professionals,1,,,
"BigBear, Inc.",1,,,
ACT Commodities,1,,,
Bind Benefits,1,,,
Connexion Systems & Engineering,1,,,
"Biocept, Inc.",1,,,
Coso IT,1,,,
Ardent Eagle Solutions,1,,,
Crain Communications,1,,,
AFL-CIO,1,,,
Celtra Inc.,1,,,
Angle Technologies,1,,,
Centro,1,,,
"AgeX Therapeutics, Inc.",1,,,
aven pharma & tech llc,1,,,
BioMarin Pharmaceutical Inc.,1,,,
"ChartSpan Medical Technologies, Inc.",1,,,
"Biomatrica, Inc.",1,,,
Children's Hospital Los Angeles,1,,,
Aristotle,1,,,
Circle,1,,,
Bionic Sciences Inc.,1,,,
"Aegerion Pharmaceuticals, Inc.",1,,,
"Agilent Technologies, Inc.",1,,,
American Council on Exercise,1,,,
Biotech Partners,1,,,
Cloudflare,1,,,
Bioverativ Therapeutics Inc,1,,,
Code Pilot,1,,,
Arivale,1,,,
[m]Platform,1,,,
Bizible,1,,,
CollegeVine,1,,,
Black & Veatch,1,,,
AMP Agency,1,,,
Blackboard Insurance,1,,,
Concentric Marketing,1,,,
Crunch Data,1,,,
ContraFect Corporation,1,,,
Crystal Dynamics,1,,,
Beacon Hill Technologies,1,,,
CSRA,1,,,
Analysis Group,1,,,
Cubic Corporation,1,,,
Cox Media Group,1,,,
605,1,,,
Credit Suisse,1,,,
Aduro Biotech,1,,,
Celldom,1,,,
Bloomberg BNA,1,,,
Center for Infectious Disease Research,1,,,
Bloomingdale's,1,,,
Alphasights: Engineering,1,,,
BloomReach,1,,,
Applied Memetics LLC,1,,,
Blue Apron,1,,,
Chadwick Martin Bailey,1,,,
Arosys,1,,,
"Alteryx, Inc.",1,,,
"Blue Cross Blue Shield of IL, MT, NM, OK & TX",1,,,
Chartboost,1,,,
Blue Health Intelligence,1,,,
Chegg,1,,,
Blue Mesa Health,1,,,
Children's Healthcare of Atlanta,1,,,
Array Architects Inc,1,,,
"Choate, Hall & Stewart LLP",1,,,
Blue River Technology,1,,,
Cibus,1,,,
AHA American Hospital Association,1,,,
Anokion SA,1,,,
Array BioPharma,1,,,
CITIZENS BANK,1,,,
Ahrefs,1,,,
Cityblock Health,1,,,
Arth Systems,1,,,
APTIM,1,,,
Ahtna Environmental Inc,1,,,
Classy,1,,,
AI/IoT/Blockchain NewCo,1,,,
7Cups,1,,,
Bluestar Genomics,1,,,
"Clovis Oncology, Inc.",1,,,
AiCure,1,,,
Coalition,1,,,
ARYZTA Careers,1,,,
Coffee Meets Bagel,1,,,
"Apex Companies, LLC",1,,,
Anton Paar,1,,,
A-Line Staffing,1,,,
American Nursing Services,1,,,
A+E Networks,1,,,
Banks Environmental Data,1,,,
Acuris,1,,,
Ameriprise Financial,1,,,
Bold Metrics,1,,,
Commerce Signals,1,,,
Bolt Threads,1,,,
Basepair,1,,,
"Bombfell, Inc.",1,,,
Conagra Brands,1,,,
"Apex Staffing, Inc.",1,,,
Connect VIP,1,,,
Airbnb,1,,,
